1403636579.763555527,2555.68
1403636579.813555479,2738.84
1403636579.863555431,2834.3
1403636579.913555384,2959.39
1403636579.963555574,3086.64
1403636580.013555527,3205.06
1403636580.063555479,3315.93
1403636580.113555431,3417.6
1403636580.163555384,3524.9
1403636580.213555574,3633.29
1403636580.263555527,3751.19
1403636580.313555479,3857.82
1403636580.363555431,3971.28
1403636580.413555384,4073.89
1403636580.463555574,4177.89
1403636580.513555527,4301.39
1403636580.563555479,4405.75
1403636580.613555431,4529.88
1403636580.663555384,4635.34
1403636580.713555574,4770.54
1403636580.763555527,4884.18
1403636580.813555479,4993.4
1403636580.863555431,5091.05
1403636580.913555384,5201.78
1403636580.963555574,5309.98
1403636581.013555527,5414.54
1403636581.063555479,5518.01
1403636581.113555431,5629.57
1403636581.163555384,5734.5
1403636581.213555574,5867.88
1403636581.263555527,5971.55
1403636581.313555479,6099.65
1403636581.363555431,6221.19
1403636581.413555384,6337.23
1403636581.463555574,6450.41
1403636581.513555527,6554.77
1403636581.563555479,6669.84
1403636581.613555431,6791.23
1403636581.663555384,6908.19
1403636581.713555574,7026.18
1403636581.763555527,7148.81
1403636581.813555479,7268.2
1403636581.863555431,7403.22
1403636581.913555384,7506.2
1403636581.963555574,7651.18
1403636582.013555527,7764.94
1403636582.063555479,7875.6
1403636582.113555431,7978.96
1403636582.163555384,8102.15
1403636582.213555574,8201.51
1403636582.263555527,8309
1403636582.313555479,8415.49
1403636582.363555431,8517.48
1403636582.413555384,8625.73
1403636582.463555574,8757.53
1403636582.513555527,8860.04
1403636582.563555479,8987.63
1403636582.613555431,9109.89
1403636582.663555384,9214.74
1403636582.713555574,9330.43
1403636582.763555527,9444.84
1403636582.813555479,9544.01
1403636582.863555431,9668.16
1403636582.913555384,9781.91
1403636582.963555574,9891.55
1403636583.013555527,9997.54
1403636583.063555479,10105.2
1403636583.113555431,10217.1
1403636583.163555384,10353.2
1403636583.213555574,10477.8
1403636583.263555527,10617.8
1403636583.313555479,10721.3
1403636583.363555431,10833.1
1403636583.413555384,10938.3
1403636583.463555574,11088.4
1403636583.513555527,11230.3
1403636583.563555479,11331.9
1403636583.613555431,11466.3
1403636583.663555384,11572.3
1403636583.713555574,11680.1
1403636583.763555527,11804.2
1403636583.813555479,11932.1
1403636583.863555431,12038.4
1403636583.913555384,12165.6
1403636583.963555574,12282.7
1403636584.013555527,12401
1403636584.063555479,12506.5
1403636584.113555431,12630.6
1403636584.163555384,12761.7
1403636584.213555574,12876.5
1403636584.263555527,12982.8
1403636584.313555479,13084.4
1403636584.363555431,13215.2
1403636584.413555384,13316
1403636584.463555574,13416.7
1403636584.513555527,13533.5
1403636584.563555479,13635.5
1403636584.613555431,13779.9
1403636584.663555384,13885
1403636584.713555574,13989.3
1403636584.763555527,14094.5
1403636584.813555479,14221.1
1403636584.863555431,14343.7
1403636584.913555384,14453.7
1403636584.963555574,14558.1
1403636585.013555527,14656.8
1403636585.063555479,14773.2
1403636585.113555431,14871.3
1403636585.163555384,14974.4
1403636585.213555574,15085.7
1403636585.263555527,15213
1403636585.313555479,15311.1
1403636585.363555431,15417.7
1403636585.413555384,15523
1403636585.463555574,15646.4
1403636585.513555527,15756.7
1403636585.563555479,15873.1
1403636585.613555431,15986.7
1403636585.663555384,16127.3
1403636585.713555574,16303.2
1403636585.763555527,16453.4
1403636585.813555479,16561.6
1403636585.863555431,16682.7
1403636585.913555384,16787.3
1403636585.963555574,16919
1403636586.013555527,17047.8
1403636586.063555479,17172.4
1403636586.113555431,17297.4
1403636586.163555384,17420.3
1403636586.213555574,17543.4
1403636586.263555527,17660.9
1403636586.313555479,17818.7
1403636586.363555431,17924.8
1403636586.413555384,18053.3
1403636586.463555574,18185.2
1403636586.513555527,18316.3
1403636586.563555479,18418.5
1403636586.613555431,18548.1
1403636586.663555384,18690.1
1403636586.713555574,18810.7
1403636586.763555527,18927.9
1403636586.813555479,19040.1
1403636586.863555431,19178.1
1403636586.913555384,19309.9
1403636586.963555574,19418.2
1403636587.013555527,19526.6
1403636587.063555479,19659
1403636587.113555431,19766.8
1403636587.163555384,19889.5
1403636587.213555574,19993.5
1403636587.263555527,20104.4
1403636587.313555479,20249.2
1403636587.363555431,20378.1
1403636587.413555384,20483.6
1403636587.463555574,20622.3
1403636587.513555527,20731.9
1403636587.563555479,20851
1403636587.613555431,20977.5
1403636587.663555384,21162.2
1403636587.713555574,21290
1403636587.763555527,21403.2
1403636587.813555479,21526.3
1403636587.863555431,21663.3
1403636587.913555384,21773
1403636587.963555574,21925
1403636588.013555527,22070.4
1403636588.063555479,22175.4
1403636588.113555431,22327.5
1403636588.163555384,22473.3
1403636588.213555574,22577.2
1403636588.263555527,22727.8
1403636588.313555479,22875.4
1403636588.363555431,23015.8
1403636588.413555384,23173.2
1403636588.463555574,23297.3
1403636588.513555527,23483.8
1403636588.563555479,23649.4
1403636588.613555431,23768
1403636588.663555384,23881.9
1403636588.713555574,23990.2
1403636588.763555527,24118
1403636588.813555479,24219.8
1403636588.863555431,24321.1
1403636588.913555384,24480.8
1403636588.963555574,24627.3
1403636589.013555527,24773.1
1403636589.063555479,24897.5
1403636589.113555431,24999.9
1403636589.163555384,25107.1
1403636589.213555574,25225.3
1403636589.263555527,25361.1
1403636589.313555479,25511.2
1403636589.363555431,25629.6
1403636589.413555384,25750
1403636589.463555574,25865.4
1403636589.513555527,25973.6
1403636589.563555479,26083
1403636589.613555431,26190.8
1403636589.663555384,26308.8
1403636589.713555574,26414.6
1403636589.763555527,26536.8
1403636589.813555479,26657.1
